fixed acidity,volatile acidity,citric acid,residual sugar,quality
8.6,0.49,0.215,1.9,6.0
7.7,0.49,0.22,1.9,5.0
5.0,1.02,0.04,1.4,4.0
4.7,0.6,0.17,2.3,6.0
7.0,0.5,0.25,2.0,5.0
8.1,0.545,0.18,1.9,6.0
8.1,0.545,0.09,1.9,6.0
8.1,0.575,0.22,2.1,5.0
7.0,0.33,0.265,2.5,6.0
8.1,0.785,0.405,2.0,5.0
7.8,0.56,0.19,1.8,5.0
8.4,0.6,0.13,2.2,5.0
10.1,0.31,0.44,2.3,6.0
9.4,0.4,0.31,2.2,6.0
8.8,0.55,0.04,2.2,6.0
7.3,0.695,0.0,2.5,5.0
7.0,0.71,0.0,2.6,5.0
9.0,0.62,0.065,1.9,5.0
8.1,1.33,0.0,1.8,5.0
7.0,0.59,0.16,1.8,7.0
5.6,0.5,0.13,2.3,5.0
5.6,0.5,0.09,2.3,5.0
6.6,0.5,0.01,1.5,6.0
8.3,0.715,0.15,1.8,5.0
7.2,0.415,0.36,2.0,5.0
8.4,0.745,0.11,1.9,5.0
5.2,0.34,0.0,1.8,6.0
6.3,0.39,0.08,1.7,5.0
5.2,0.34,0.0,1.8,6.0
8.1,0.67,0.55,1.8,5.0
6.9,0.49,0.1,2.3,6.0
8.2,0.4,0.44,2.8,6.0
7.3,0.33,0.47,2.1,6.0
9.2,0.52,1.0,3.4,4.0
7.1,0.43,0.42,5.5,5.0
7.1,0.43,0.42,5.5,5.0
7.1,0.43,0.42,5.5,5.0
7.1,0.43,0.42,5.5,5.0
7.1,0.68,0.0,2.2,5.0
7.6,0.68,0.02,1.3,4.0
7.8,0.53,0.04,1.7,6.0
7.4,0.6,0.26,7.3,5.0
7.3,0.59,0.26,7.2,5.0
7.3,0.55,0.03,1.6,4.0
6.8,0.63,0.07,2.1,6.0
7.9,0.885,0.245,1.8,4.0
7.4,0.62,0.05,1.9,6.0
7.3,0.38,0.21,2.0,5.0
6.9,0.5,0.04,1.5,5.0
6.7,0.62,0.21,1.9,6.0
8.2,0.5,0.35,2.9,5.0
11.5,0.3,0.6,2.0,6.0
5.4,0.835,0.08,1.2,7.0
6.9,1.09,0.06,2.1,4.0
9.6,0.32,0.47,1.4,7.0
8.8,0.37,0.48,2.1,5.0
12.8,0.3,0.74,2.6,7.0
12.8,0.3,0.605,2.6,7.0
7.8,0.57,0.31,1.8,5.0
7.8,0.44,0.28,2.7,5.0
11.0,0.3,0.5549999999999999,2.1,7.0
7.0,0.725,0.24,2.8,6.0
11.6,0.44,0.64,2.1,6.0
8.2,0.57,0.31,2.2,5.0
7.0,0.49,0.33,5.6,5.0
8.1,0.725,0.095,2.2,5.0
7.5,0.49,0.19,1.9,5.0
7.8,0.34,0.37,2.0,6.0
8.4,0.635,0.36,2.0,4.0
7.7,0.43,0.25,2.6,6.0
8.9,0.59,0.265,2.0,6.0
7.7,0.43,0.31,2.6,6.0
5.2,0.48,0.04,1.6,7.0
8.5,0.37,0.2,2.8,6.0
7.2,0.63,0.045,1.9,6.0
7.2,0.645,0.0,1.9,6.0
8.2,1.0,0.09,2.3,6.0
8.9,0.635,0.28,1.7,5.0
12.0,0.38,0.56,2.1,6.0
15.0,0.21,0.44,2.2,7.0
15.0,0.21,0.5,2.2,7.0
7.3,0.66,0.0,2.0,6.0
8.2,0.6,0.23,2.3,5.0
7.3,0.66,0.0,2.0,6.0
7.1,0.6,0.0,1.8,6.0
11.1,0.35,0.48,3.1,5.0
7.7,0.775,0.42,1.9,5.0
7.1,0.6,0.235,1.8,6.0
7.0,0.57,0.23,3.2,5.0
9.4,0.34,0.37,2.2,5.0
6.6,0.695,0.0,2.1,5.0
7.7,0.41,0.76,1.8,5.0
10.0,0.31,0.47,2.6,7.0
7.0,0.975,0.04,2.0,4.0
7.0,0.52,0.465,1.7,5.0
7.9,0.37,0.23,1.8,5.0
12.5,0.56,0.51,2.4,5.0
11.8,0.26,0.525,1.8,7.0
8.1,0.87,0.0,3.3,4.0
7.9,0.35,0.46,3.6,7.0
6.9,0.54,0.51,4.0,6.0
11.5,0.18,0.51,4.0,6.0
7.9,0.545,0.06,4.0,6.0
11.5,0.18,0.51,4.0,6.0
7.5,0.65,0.565,7.0,5.0
10.3,0.32,0.595,6.4,7.0
8.9,0.4,0.32,5.6,7.0
7.7,0.27,0.68,3.5,7.0
7.6,0.52,0.12,4.0,5.0
8.9,0.4,0.22,5.6,7.0
12.0,0.45,0.09,2.0,6.0
7.5,0.4,0.12,4.0,6.0
8.7,0.52,0.09,2.5,7.0
11.6,0.42,0.53,3.3,5.0
8.7,0.52,0.09,2.5,7.0
6.9,0.36,0.25,2.4,6.0
13.3,0.34,0.52,3.2,6.0
10.8,0.5,0.46,2.5,5.0
6.9,0.67,0.29000000000000004,2.1,5.0
11.1,0.18,0.48,1.5,6.0
8.3,0.705,0.12,2.6,5.0
8.4,0.65,0.6,2.1,5.0
7.6,0.62,0.32,2.2,5.0
10.3,0.41,0.46,2.4,6.0
10.3,0.43,0.44,2.4,6.0
10.3,0.53,0.48,2.5,6.0
7.9,0.53,0.44,2.0,6.0
8.6,0.47,0.43,4.0,5.0
7.4,0.36,0.29,2.6,5.0
9.6,0.56,0.23,3.4,5.0
9.6,0.77,0.275,2.9,6.0
9.8,0.66,0.39,3.2,7.0
9.8,0.66,0.39,3.2,7.0
9.3,0.61,0.26,3.4,5.0
7.8,0.62,0.525,2.3,5.0
11.6,0.53,0.66,3.65,7.0
10.7,0.46,0.39,2.0,5.0
10.2,0.36,0.64,2.9,6.0
7.0,0.58,0.28,3.2,6.0
8.4,0.56,0.325,2.1,5.0
7.9,0.65,0.01,2.5,7.0
11.9,0.695,0.53,3.4,7.0
12.4,0.49,0.58,4.0,6.0
12.5,0.28,0.54,2.3,7.0
12.2,0.34,0.5,2.4,6.0
10.9,0.39,0.47,1.8,6.0
10.9,0.39,0.47,1.8,6.0
7.0,0.685,0.0,1.9,5.0
6.6,0.815,0.02,2.7,7.0
13.8,0.49,0.47,4.0,6.0
9.1,0.785,0.6000000000000001,2.6,6.0
10.7,0.67,0.22,2.7,6.0
6.7,0.75,0.01,2.4,6.0
10.5,0.42,0.66,2.95,7.0
11.9,0.43,0.5800000000000001,3.1,7.0
12.6,0.38,0.66,2.6,6.0
8.6,0.45,0.31,2.6,6.0
12.5,0.46,0.62,2.0,5.0
12.8,0.615,0.66,5.8,7.0
12.8,0.615,0.66,5.8,7.0
10.4,0.575,0.41,2.6,5.0
10.3,0.34,0.52,2.8,5.0
9.4,0.27,0.53,2.4,7.0
6.9,0.765,0.02,2.3,5.0
7.9,0.24,0.4,1.6,6.0
11.5,0.54,0.71,4.4,7.0
11.5,0.45,0.495,4.0,6.0
9.4,0.27,0.53,2.4,7.0
8.3,0.26,0.42,2.0,6.0
8.3,0.26,0.41,2.0,6.0
7.8,0.46,0.26,1.9,6.0
9.6,0.38,0.31,2.5,7.0
5.6,0.85,0.34,1.4,7.0
13.7,0.415,0.68,2.9,6.0
12.7,0.6,0.65,2.3,5.0
12.0,0.37,0.76,4.2,7.0
6.6,0.735,0.02,7.9,5.0
11.5,0.59,0.59,2.6,6.0
11.5,0.59,0.59,2.6,6.0
8.7,0.31,0.46,1.4,6.0
12.0,0.39,0.66,4.0,7.0
10.4,0.34,0.58,3.7,6.0
12.5,0.46,0.49,4.5,4.0
7.1,0.735,0.16,1.9,5.0
9.9,0.4,0.53,6.7,7.0
10.6,0.48,0.64,2.2,6.0
9.5,0.56,0.45,2.4,7.0
6.6,0.84,0.26,2.3,7.0
10.5,0.24,0.585,2.1,7.0
6.6,0.84,0.03,2.3,7.0
6.4,0.67,0.08,2.1,6.0
12.8,0.84,0.705,2.4,6.0
10.5,0.24,0.6599999999999999,2.1,7.0
11.9,0.37,0.69,2.3,6.0
10.4,0.41,0.55,3.2,6.0
12.3,0.39,0.63,2.3,5.0
7.0,0.67,0.3,2.0,6.0
7.0,0.62,0.315,1.5,5.0
12.6,0.31,0.72,2.2,7.0
11.9,0.4,0.65,2.15,6.0
15.6,0.685,0.705,3.7,7.0
10.0,0.44,0.64,2.7,7.0
5.3,0.57,0.01,1.7,7.0
12.5,0.38,0.6,2.6,5.0
11.9,0.39,0.69,2.8,6.0
11.9,0.39,0.69,2.8,6.0
6.8,0.56,0.03,1.7,6.0
10.4,0.33,0.51,2.8,7.0
7.0,0.23,0.4,1.6,5.0
11.3,0.62,0.67,5.2,7.0
8.9,0.59,0.39,2.3,5.0
9.2,0.63,0.21,2.7,5.0
10.4,0.33,0.63,2.8,7.0
11.6,0.58,0.66,2.2,4.0
11.5,0.315,0.54,2.1,6.0
10.0,0.29,0.5700000000000001,2.9,5.0
8.8,0.46,0.45,2.6,6.0
13.0,0.32,0.65,2.6,5.0
9.6,0.54,0.43,2.4,6.0
12.5,0.37,0.55,2.6,6.0
10.5,0.28,0.51,1.7,6.0
10.4,0.24,0.49,1.8,6.0
9.6,0.68,0.24,2.2,5.0
10.6,0.28,0.39,15.5,5.0
9.4,0.3,0.39,2.8,7.0
10.6,0.36,0.39,2.2,5.0
10.2,0.67,0.39,1.9,5.0
10.2,0.67,0.39,1.9,5.0
10.2,0.645,0.39,1.8,6.0
11.6,0.32,0.55,2.8,7.0
9.3,0.775,0.4300000000000001,2.8,6.0
9.2,0.41,0.5,2.5,7.0
8.9,0.4,0.51,2.6,7.0
10.7,0.35,0.46,2.6,7.0
7.8,0.52,0.505,1.9,6.0
7.2,0.34,0.32,2.5,5.0
10.7,0.35,0.53,2.6,7.0
8.7,0.69,0.31,4.0,6.0
10.4,0.44,0.64,6.55,7.0
10.4,0.44,0.73,6.55,7.0
10.5,0.26,0.47,1.9,7.0
10.5,0.24,0.42,1.8,7.0
10.2,0.49,0.63,2.9,7.0
10.4,0.24,0.445,1.8,7.0
11.2,0.67,0.55,2.3,6.0
10.0,0.59,0.31,2.2,6.0
13.3,0.29,0.75,2.8,7.0
10.7,0.4,0.48,2.1,6.0
10.5,0.51,0.64,2.4,7.0
10.5,0.51,0.64,2.4,7.0
10.4,0.61,0.49,2.1,4.0
10.9,0.21,0.49,2.8,6.0
7.6,0.41,0.485,2.0,5.0
9.3,0.4,0.49,2.5,5.0
7.3,0.365,0.49,2.5,5.0
11.9,0.38,0.49,2.7,5.0
10.3,0.27,0.365,2.1,6.0
10.0,0.48,0.24,2.7,6.0
8.1,0.825,0.24,2.1,6.0
12.9,0.35,0.49,5.8,7.0
11.2,0.5,0.365,5.15,5.0
11.2,0.66,0.24,2.5,6.0
9.1,0.47,0.49,2.6,5.0
10.6,0.31,0.49,2.5,6.0
12.4,0.35,0.49,2.6,6.0
9.4,0.43,0.24,2.8,6.0
9.5,0.46,0.24,2.7,6.0
15.5,0.645,0.49,4.2,5.0
10.9,0.53,0.49,4.6,6.0
13.0,0.47,0.49,4.3,6.0
8.7,0.7,0.24,2.5,6.0
6.2,0.36,0.24,2.2,6.0
6.2,0.36,0.24,2.2,6.0
10.2,0.24,0.49,2.4,5.0
10.5,0.59,0.24,2.1,4.0
10.6,0.34,0.49,3.2,6.0
9.9,0.5,0.24,2.3,4.0
8.8,0.44,0.49,2.8,5.0
8.8,0.47,0.49,2.9,5.0
12.3,0.5,0.49,2.2,5.0
12.3,0.5,0.49,2.2,5.0
11.7,0.49,0.49,2.2,5.0
12.0,0.28,0.49,1.9,7.0
11.8,0.33,0.49,3.4,7.0
7.6,0.51,0.55,2.4,6.0
11.1,0.31,0.41,2.7,7.0
5.0,0.42,0.24,2.0,7.0
10.2,0.29,0.49,2.6,7.0
9.0,0.45,0.49,2.6,5.0
9.0,0.45,0.49,2.6,5.0
9.9,0.49,0.58,3.5,5.0
12.4,0.4,0.51,2.0,6.0
11.9,0.58,0.58,1.9,6.0
8.2,0.915,0.27,2.1,4.0
13.2,0.46,0.55,2.2,6.0
7.7,0.835,0.5349999999999999,2.6,5.0
13.2,0.46,0.52,2.2,6.0
8.3,0.6,0.13,2.6,6.0
9.4,0.41,0.2,4.6,7.0
8.8,0.48,0.41,3.3,6.0
8.8,0.24,0.54,2.5,5.0
8.2,0.39,0.38,1.5,5.0
11.5,0.31,0.51,2.2,6.0
11.3,0.37,0.41,2.3,5.0
8.2,0.56,0.355,3.4,5.0
10.0,0.58,0.22,1.9,5.0
6.8,0.69,0.0,5.6,5.0
8.8,0.6,0.29,2.2,5.0
8.7,0.54,0.26,2.5,6.0
8.7,0.54,0.26,2.5,6.0
7.6,0.41,0.14,4.0,6.0
10.1,0.935,0.22,3.4,4.0
7.9,0.35,0.21,1.9,5.0
9.6,0.88,0.27,2.4,5.0
9.5,0.885,0.27,2.3,5.0
7.7,0.915,0.385,2.2,7.0
9.9,0.54,0.45,2.3,5.0
9.5,0.59,0.44,2.3,5.0
7.8,0.64,0.24,6.0,7.0
8.3,0.845,0.24,2.2,4.0
8.7,0.48,0.3,2.8,7.0
6.7,0.42,0.27,8.6,6.0
8.6,0.47,0.47,2.4,5.0
9.7,0.55,0.17,2.9,5.0
12.0,0.5,0.29500000000000004,1.4,7.0
7.2,0.52,0.07,1.4,6.0
7.1,0.84,0.02,4.4,4.0
10.1,0.28,0.46,1.8,6.0
12.1,0.4,0.52,2.0,5.0
9.4,0.59,0.14,2.0,5.0
8.3,0.49,0.36,1.8,6.0
11.3,0.34,0.45,2.0,6.0
9.8,1.24,0.34,2.0,5.0
10.8,0.4,0.43,2.2,6.0
9.3,0.41,0.39,2.2,5.0
10.8,0.4,0.41,2.2,6.0
8.6,0.8,0.205,2.3,5.0
13.3,0.43,0.58,1.9,5.0
8.1,0.78,0.205,2.6,5.0
9.8,0.98,0.32,2.3,5.0
7.7,0.66,0.04,1.6,5.0
7.4,1.185,0.0,4.25,4.0
9.0,0.47,0.31,2.7,5.0
7.0,0.65,0.02,2.1,6.0
9.4,0.615,0.28,3.2,5.0
7.0,0.65,0.05,2.1,6.0
7.5,0.38,0.48,2.6,4.0
9.1,0.765,0.04,1.6,4.0
7.0,0.78,0.08,2.0,5.0
7.4,0.49,0.19,4.0,5.0
7.8,0.545,0.425,2.5,6.0
7.0,0.43,0.36,2.3,5.0
8.4,0.56,0.04,2.0,5.0
7.1,0.66,0.0,3.9,5.0
8.9,0.48,0.305,2.85,5.0
7.1,0.31,0.3,2.2,5.0
7.5,1.115,0.1,3.1,4.0
9.0,0.66,0.06000000000000001,4.0,5.0
6.4,0.57,0.02,1.8,5.0
9.5,0.55,0.66,2.3,5.0
8.9,0.875,0.06000000000000001,3.45,5.0
7.7,0.965,0.02,2.1,5.0
9.0,0.46,0.035,2.8,5.0
9.0,0.69,0.38,2.4,5.0
8.3,0.76,0.05,4.2,6.0
9.2,0.53,0.24,2.6,5.0
6.5,0.615,0.0,1.9,5.0
8.2,0.34,0.38,2.5,6.0
8.6,0.33,0.4,2.6,5.0
7.2,0.5,0.18,2.1,6.0
8.3,0.65,0.1,2.9,5.0
7.6,0.54,0.13,2.5,5.0
6.3,0.98,0.01,2.0,6.0
8.1,0.87,0.0,2.2,5.0
9.0,0.58,0.25,2.8,5.0
7.5,0.6,0.32,2.7,5.0
7.1,0.59,0.02,2.3,6.0
7.9,0.4,0.22,1.8,6.0
7.9,0.4,0.3,1.8,6.0
7.1,0.52,0.03,2.6,5.0
6.5,0.46,0.14,2.4,5.0
9.0,0.82,0.05,2.4,5.0
9.9,0.35,0.41,2.3,5.0
8.6,0.63,0.165,2.9,5.0
7.4,0.37,0.43,2.6,6.0
7.1,0.61,0.02,2.5,6.0
10.8,0.89,0.3,2.6,5.0
8.7,0.46,0.31,2.5,5.0
9.3,0.37,0.235,1.6,7.0
7.2,0.61,0.08,4.0,5.0
8.6,0.55,0.09,3.3,5.0
5.1,0.585,0.0,1.7,7.0
8.2,0.28,0.395,2.4,7.0
8.4,0.25,0.39,2.0,7.0
8.2,0.28,0.4,2.4,7.0
7.4,0.53,0.12,1.9,5.0
7.3,0.49,0.26,2.6,5.0
10.8,0.45,0.33,2.5,5.0
6.9,0.39,0.24,2.1,4.0
9.8,0.51,0.19,3.2,6.0
9.1,0.66,0.15,3.2,5.0
7.0,0.685,0.0,1.9,5.0
4.9,0.42,0.0,2.1,7.0
7.1,0.46,0.14,2.8,5.0
7.5,0.27,0.34,2.3,7.0
7.8,0.57,0.09,2.3,7.0
7.5,0.685,0.29000000000000004,2.5,4.0
5.9,0.61,0.13,2.1,6.0
10.4,0.44,0.42,1.5,4.0
11.6,0.47,0.44,1.6,4.0
8.8,0.685,0.26,1.6,5.0
6.7,0.28,0.28,2.4,7.0
6.7,0.28,0.18000000000000002,2.4,7.0
10.1,0.31,0.21,1.6,7.0
11.1,0.42,0.21,2.65,7.0
6.6,0.66,0.0,4.0,5.0
10.6,0.5,0.45,2.6,6.0
6.4,0.64,0.21,1.8,5.0
7.4,0.68,0.21,1.8,6.0
6.4,0.64,0.21,1.8,5.0
9.3,0.36,0.39,1.5,6.0
7.6,0.735,0.02,2.5,7.0
8.2,0.26,0.34,2.5,7.0
11.7,0.28,0.47,1.7,7.0
5.8,1.01,0.66,2.0,6.0
7.5,0.42,0.32,2.7,5.0
7.2,0.62,0.35000000000000003,2.7,5.0
7.6,0.63,0.125,2.0,6.0
7.7,0.715,0.135,2.1,6.0
6.9,0.56,0.03,1.5,5.0
7.3,0.35,0.24,2.0,4.0
9.1,0.21,0.23,1.6,7.0
10.4,0.38,0.46,2.1,7.0
8.8,0.31,0.4,2.8,7.0
7.1,0.47,0.0,2.2,4.0
7.7,0.715,0.01,2.1,6.0
9.2,0.56,0.18,1.6,5.0
7.6,0.715,0.01,2.1,6.0
7.2,0.6,0.04,2.5,5.0
8.9,0.75,0.15,2.5,5.0
9.0,0.8,0.12,2.4,6.0
10.7,0.52,0.12,2.6,7.0
6.8,0.57,0.0,2.5,6.0
7.2,0.34,0.01,2.0,5.0
7.2,0.66,0.03,2.3,5.0
10.1,0.45,0.12,1.9,6.0
7.2,0.63,0.03,2.2,6.0
7.1,0.59,0.01,2.3,6.0
8.3,0.31,0.39,2.4,7.0
8.3,0.31,0.39,2.4,7.0
8.3,1.02,0.06,3.4,4.0
8.9,0.31,0.36,2.6,5.0
7.4,0.635,0.1,2.4,7.0
7.4,0.635,0.1,2.4,7.0
6.8,0.59,0.06,6.0,7.0
6.8,0.59,0.06,6.0,7.0
9.2,0.58,0.2,4.0,5.0
7.2,0.54,0.27,2.6,5.0
6.1,0.56,0.46,2.2,6.0
7.4,0.52,0.13,2.4,6.0
7.3,0.305,0.46,1.2,6.0
9.3,0.38,0.46,3.8,6.0
9.1,0.28,0.46,9.0,6.0
9.4,0.395,0.46,4.6,7.0
5.3,0.715,0.23,1.5,5.0
8.4,0.36,0.305,2.2,6.0
8.4,0.62,0.12,1.8,6.0
8.4,0.36,0.32,2.2,6.0
8.4,0.62,0.12,1.8,6.0
6.8,0.41,0.31,8.8,6.0
8.6,0.22,0.36,1.9,7.0
8.4,0.67,0.19,2.2,4.0
8.7,0.33,0.38,3.3,7.0
6.6,0.61,0.01,1.9,5.0
7.4,0.61,0.01,2.0,5.0
7.6,0.4,0.29,1.9,6.0
7.4,0.61,0.195,2.0,5.0
6.6,0.61,0.01,1.9,5.0
8.8,0.3,0.38,2.3,6.0
12.0,0.63,0.01,1.4,4.0
7.2,0.38,0.38,2.8,7.0
6.2,0.46,0.485,1.6,5.0
9.6,0.33,0.52,2.2,7.0
9.9,0.27,0.49,5.0,7.0
10.1,0.43,0.36,2.6,7.0
9.8,0.5,0.34,2.3,7.0
8.3,0.3,0.49,3.8,7.0
10.2,0.44,0.42,2.0,7.0
10.2,0.44,0.58,4.1,7.0
8.3,0.28,0.48,2.1,7.0
8.9,0.12,0.45,1.8,7.0
8.9,0.12,0.45,1.8,7.0
8.9,0.12,0.45,1.8,7.0
8.3,0.28,0.48,2.1,7.0
8.2,0.31,0.4,2.2,7.0
10.2,0.34,0.48,2.1,7.0
9.0,0.36,0.52,2.1,6.0
6.4,0.57,0.12,2.3,7.0
7.0,0.59,0.355,2.0,5.0
8.8,0.27,0.39,2.0,6.0
8.3,0.34,0.4,2.4,6.0
9.0,0.38,0.5,2.4,7.0
9.0,0.4,0.43,2.4,6.0
6.7,0.56,0.365,2.9,5.0
10.4,0.26,0.48,1.9,6.0
10.1,0.38,0.445,2.4,7.0
8.8,0.33,0.41,5.9,7.0
7.2,0.41,0.3,2.1,5.0
7.2,0.41,0.3,2.1,5.0
8.4,0.59,0.41,2.6,5.0
7.0,0.4,0.32,3.6,7.0
12.2,0.45,0.49,1.4,5.0
9.1,0.5,0.3,1.9,6.0
9.5,0.86,0.26,1.9,5.0
12.2,0.45,0.49,1.4,5.0
7.4,0.58,0.345,2.0,6.0
9.8,0.34,0.39,1.4,7.0
7.1,0.36,0.3,1.6,5.0
7.7,0.39,0.12,1.7,5.0
7.1,0.34,0.29000000000000004,2.0,5.0
7.1,0.34,0.28,2.0,5.0
10.0,0.35,0.45,2.5,5.0
5.6,0.66,0.0,2.2,7.0
5.6,0.66,0.0,2.2,7.0
8.9,0.84,0.34,1.4,6.0
6.4,0.69,0.0,1.65,6.0
7.5,0.43,0.3,2.2,7.0
9.9,0.35,0.28500000000000003,1.5,7.0
9.1,0.29,0.365,2.05,7.0
6.8,0.36,0.31,1.8,7.0
8.2,0.43,0.29,1.6,5.0
6.8,0.36,0.32,1.8,7.0
9.1,0.29,0.33,2.05,7.0
9.1,0.3,0.365,2.0,7.0
8.9,0.35,0.4,3.6,7.0
8.9,0.28,0.45,1.7,7.0
8.9,0.32,0.205,2.0,6.0
7.7,1.005,0.15,2.1,5.0
10.5,0.39,0.46,2.2,6.0
8.9,0.38,0.305,2.2,7.0
7.0,0.18,0.37,0.9,6.0
11.3,0.36,0.66,2.4,6.0
7.0,0.51,0.555,2.1,5.0
7.7,0.58,0.01,1.8,7.0
8.6,0.83,0.0,2.8,6.0
7.2,0.34,0.21,2.5,6.0
7.7,0.58,0.01,1.8,7.0
7.1,0.59,0.0,2.1,7.0
7.3,0.55,0.005,1.8,7.0
8.1,0.82,0.0,4.1,5.0
7.5,0.57,0.01,2.6,6.0
10.1,0.37,0.34,2.4,7.0
7.6,0.31,0.34,2.5,7.0
7.3,0.91,0.1,1.8,5.0
8.7,0.41,0.375,6.2,7.0
9.5,0.39,0.41,8.9,7.0
6.4,0.39,0.33,3.3,6.0
7.6,0.78,0.0,1.7,6.0
7.1,0.43,0.285,1.8,5.0
7.1,0.43,0.285,1.8,5.0
5.6,0.605,0.05,2.4,5.0
8.3,0.33,0.575,2.3,7.0
8.2,0.64,0.27,2.0,6.0
8.2,0.64,0.30000000000000004,2.0,6.0
8.9,0.48,0.53,4.0,7.0
7.6,0.42,0.2,3.9,5.0
9.9,0.53,0.57,2.4,7.0
8.9,0.48,0.53,4.0,7.0
9.1,0.4,0.5,1.8,7.0
10.2,0.29,0.65,2.4,6.0
8.2,0.74,0.53,2.0,6.0
6.6,0.52,0.08,2.4,7.0
11.1,0.31,0.5900000000000001,2.2,7.0
11.1,0.31,0.5900000000000001,2.2,7.0
7.0,0.62,0.51,2.8,5.0
9.3,0.33,0.45,1.5,7.0
7.5,0.77,0.2,8.1,5.0
7.2,0.35,0.42,1.8,6.0
7.0,0.62,0.33,2.7,6.0
7.5,0.77,0.2,8.1,5.0
9.1,0.25,0.42,2.0,7.0
8.6,0.37,0.65,6.4,5.0
7.9,0.3,0.68,8.3,7.0
10.3,0.27,0.525,1.4,6.0
7.9,0.3,0.445,8.3,7.0
7.2,0.38,0.3,1.8,6.0
8.5,0.34,0.4,4.7,7.0
7.9,0.19,0.225,1.6,6.0
11.6,0.41,0.54,1.5,7.0
11.6,0.41,0.48,1.5,7.0
10.0,0.26,0.54,1.9,7.0
7.0,0.54,0.09,2.0,6.0
9.2,0.31,0.36,2.2,7.0
6.6,0.725,0.09,5.5,6.0
7.0,0.31,0.45,2.1,7.0
8.4,0.34,0.42,2.1,6.0
6.1,0.48,0.09,1.7,6.0
7.4,0.49,0.27,2.1,6.0
8.2,0.23,0.42,1.9,6.0
9.1,0.3,0.41,2.0,7.0
10.8,0.47,0.43,2.1,6.0
8.3,0.53,0.38,1.4,6.0
5.4,0.42,0.27,2.0,7.0
7.9,0.33,0.41,1.5,6.0
7.0,0.69,0.38,2.5,6.0
7.9,0.54,0.34,2.5,7.0
6.5,0.58,0.0,2.2,4.0
8.8,0.24,0.35,1.7,7.0
10.0,0.43,0.43,2.7,5.0
10.5,0.43,0.35,3.3,6.0
5.9,0.19,0.21,1.7,5.0
7.4,0.36,0.34,1.8,7.0
7.2,0.48,0.235,5.5,7.0
8.5,0.28,0.35,1.7,7.0
7.3,0.4,0.43,1.7,6.0
7.3,0.32,0.175,2.3,5.0
7.8,0.5,0.12,1.8,6.0
10.0,0.41,0.45,6.2,7.0
7.8,0.39,0.42,2.0,6.0
10.0,0.35,0.47,2.0,6.0
8.2,0.33,0.32,2.8,7.0
6.6,0.58,0.0,2.2,6.0
8.5,0.18,0.51,1.75,7.0
5.1,0.51,0.18,2.1,7.0
10.2,0.41,0.43,2.2,5.0
10.6,0.36,0.335,2.3,7.0
8.8,0.45,0.43,1.4,6.0
8.5,0.32,0.42,2.3,7.0
9.0,0.785,0.335,1.7,5.0
9.0,0.785,0.24,1.7,5.0
9.9,0.54,0.26,2.0,5.0
8.2,0.33,0.275,2.5,7.0
6.5,0.34,0.38,2.8,6.0
9.2,0.36,0.34,1.6,6.0
6.5,0.61,0.0,2.2,6.0
6.5,0.88,0.275,5.6,4.0
7.1,0.66,0.17,2.4,7.0
5.6,0.915,0.15000000000000002,2.1,5.0
8.2,0.35,0.315,2.4,6.0
8.2,0.35,0.33,2.4,6.0
9.8,0.39,0.17,1.65,5.0
